"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"200","RAT06","Morphine","2016-07-12",10,10200,"EEG_FR","1",12.64400457536,26,3.49560466343442,11.96175817995
"201","RAT06","Morphine","2016-07-12",10,10200,"EEG_PL","1",12.2142581877436,22,4.46212903348889,11.4282589012
"202","RAT06","Morphine","2016-07-12",10,10200,"EEG_PR","1",11.7523457406612,25,3.63171386455932,12.0249329432
"203","RAT06","Morphine","2016-07-12",10,10200,"EEG_OL","1",14.042872655924,25,4.13745863808059,14.9928416877
"204","RAT06","Morphine","2016-07-12",10,10200,"EEG_OR","1",-15.8448031698567,30,3.52911794799608,-15.36932501375
"205","RAT06","Morphine","2016-07-12",10,10500,"EEG_FL","1",11.1026672247234,29,4.20565571602775,11.0992131879
"206","RAT06","Morphine","2016-07-12",10,10500,"EEG_FR","1",11.4885685045587,30,4.03607795081592,11.85292439285
"207","RAT06","Morphine","2016-07-12",10,10500,"EEG_PL","1",11.1089248097172,29,4.2234561145308,10.8735691682
"208","RAT06","Morphine","2016-07-12",10,10500,"EEG_PR","1",9.283960538147,30,3.82874733205326,10.23255113225
"209","RAT06","Morphine","2016-07-12",10,10500,"EEG_OL","1",12.7805505676767,30,3.75268886052318,11.7295888779
"210","RAT06","Morphine","2016-07-12",10,10500,"EEG_OR","1",-14.2698920945843,30,3.06011462135219,-14.4327888644
"211","RAT06","Morphine","2016-07-12",10,10800,"EEG_FL","1",12.139555635008,30,3.82560323549411,12.5714935238
"212","RAT06","Morphine","2016-07-12",10,10800,"EEG_FR","1",12.526640220718,30,3.76276256397793,12.3858385811
"213","RAT06","Morphine","2016-07-12",10,10800,"EEG_PL","1",11.877157317618,30,4.04306872081865,12.0640038989
"214","RAT06","Morphine","2016-07-12",10,10800,"EEG_PR","1",9.62952056566267,30,3.37815628616808,9.48912207125
"215","RAT06","Morphine","2016-07-12",10,10800,"EEG_OL","1",11.6993884719937,30,2.76737280112625,11.2722685567
"216","RAT06","Morphine","2016-07-12",10,10800,"EEG_OR","1",-14.6394422765367,30,2.15370572509567,-14.6986785507
"217","RAT06","Morphine","2016-07-12",10,11100,"EEG_FL","1",12.6477334439296,27,3.8321304774019,12.2358052633
"218","RAT06","Morphine","2016-07-12",10,11100,"EEG_FR","1",13.014240226028,30,3.79012519717459,12.79509371235
"219","RAT06","Morphine","2016-07-12",10,11100,"EEG_PL","1",12.7588577981081,27,3.81080222570308,12.2654505194
"220","RAT06","Morphine","2016-07-12",10,11100,"EEG_PR","1",9.44236370511286,28,3.25426908498023,9.36885035128
"221","RAT06","Morphine","2016-07-12",10,11100,"EEG_OL","1",11.1486173609745,29,3.17129976876919,12.083383694
"222","RAT06","Morphine","2016-07-12",10,11100,"EEG_OR","1",-14.3540984383093,30,2.83703955747641,-14.7081033948
